256,10722127
512,7776456
1024,3863885
2048,6089705
4096,970611
8192,1380766
16384,1460509
32768,1073383
65536,1409283
131072,446737
262144,555037
524288,1449567
1048576,629336
2097152,496225
4194304,661301
8388608,656874
16777216,648857
256,9295014
512,8745986
1024,4452352
2048,2747430
4096,1802582
8192,728249
16384,958228
32768,854649
65536,863159
131072,670849
262144,2585580
524288,830578
1048576,1056777
2097152,656187
4194304,926132
8388608,446452
16777216,865772
256,10070399
512,6004866
1024,3648844
2048,2572806
4096,1068842
8192,1152852
16384,1902689
32768,638800
65536,980311
131072,417462
262144,623224
524288,645751
1048576,622010
2097152,226616
4194304,446349
8388608,233133
16777216,1128978
256,8993227
512,5985006
1024,3268246
2048,2321811
4096,2250413
8192,988094
16384,1172031
32768,1965000
65536,2103540
131072,822991
262144,796177
524288,212342
1048576,413023
2097152,517602
4194304,745305
8388608,1226570
16777216,290701
256,6266521
512,7475536
1024,5012366
2048,1437090
4096,3629437
8192,1891495
16384,977041
32768,1112176
65536,933443
131072,989919
262144,432052
524288,827725
1048576,631346
2097152,1541481
4194304,450688
8388608,688953
16777216,451249
256,8061042
512,6451652
1024,4450514
2048,3184025
4096,3885861
8192,1128234
16384,1698581
32768,583831
65536,516466
131072,710475
262144,740639
524288,836816
1048576,1119954
2097152,319150
4194304,493000
8388608,462204
16777216,509490
256,9749858
512,5986286
1024,6646604
2048,2399058
4096,1010911
8192,1231573
16384,592037
32768,1079382
65536,1404507
131072,1172613
262144,427517
524288,471359
1048576,861898
2097152,229025
4194304,238072
8388608,656273
16777216,866056
256,8089477
512,10529906
1024,6072468
2048,2719086
4096,5409479
8192,751455
16384,944294
32768,1186594
65536,945994
131072,312148
262144,633642
524288,217271
1048576,1098239
2097152,647976
4194304,436440
8388608,956601
16777216,457021
256,10535112
512,8087495
1024,4974804
2048,5147884
4096,1537449
8192,1305318
16384,1148882
32768,891891
65536,1082422
131072,899269
262144,226029
524288,554953
1048576,438061
2097152,870333
4194304,669509
8388608,249105
16777216,299012
256,12162173
512,7734217
1024,5899460
2048,3314477
4096,2164084
8192,1804194
16384,1006491
32768,1047623
65536,1911369
131072,627404
262144,410106
524288,621474
1048576,411612
2097152,424932
4194304,637717
8388608,239661
16777216,1357077
256,12678793
512,12536836
1024,7019051
2048,2788812
4096,3618130
8192,1042096
16384,1008495
32768,1552257
65536,855314
131072,2028512
262144,421286
524288,860385
1048576,668877
2097152,649238
4194304,800114
8388608,646138
16777216,435073
256,10822434
512,7146521
1024,4360229
2048,2741186
4096,1027664
8192,632788
16384,1163041
32768,1905612
65536,2017598
131072,320443
262144,630540
524288,265687
1048576,641148
2097152,1319068
4194304,1156191
8388608,237044
16777216,859151
256,8129603
512,9048390
1024,4857525
2048,4070644
4096,1504212
8192,934749
16384,388802
32768,858570
65536,1317672
131072,682258
262144,417544
524288,417521
1048576,1047480
2097152,217031
4194304,221713
8388608,444955
16777216,644618
256,8678506
512,7667780
1024,3926314
2048,3574478
4096,1700071
8192,1576516
16384,1498620
32768,925770
65536,443714
131072,627570
262144,829058
524288,626774
1048576,835832
2097152,848510
4194304,1278040
8388608,240362
16777216,593183
256,8866742
512,7216125
1024,3643205
2048,3010166
4096,1080021
8192,1465647
16384,1777561
32768,1243540
65536,1337552
131072,481723
262144,1107749
524288,1048295
1048576,1056364
2097152,510518
4194304,646929
8388608,527961
16777216,647561
256,12442407
512,6968091
1024,4721246
2048,3069381
4096,1049815
8192,2971618
16384,890117
32768,1320933
65536,1327552
131072,645882
262144,635642
524288,424293
1048576,1054530
2097152,1057283
4194304,468828
8388608,649694
16777216,488569
