256,68517309
512,66115973
1024,61918350
2048,44441833
4096,52337811
8192,16300099
16384,23610081
32768,20251401
65536,22573432
131072,23018352
262144,18092949
524288,22326392
1048576,25188712
2097152,32352850
4194304,20547124
8388608,22521338
16777216,25303057
256,71357361
512,70396156
1024,61648818
2048,64782664
4096,59343384
8192,19805539
16384,19827216
32768,21229365
65536,24854486
131072,16435534
262144,22868805
524288,21945088
1048576,19475150
2097152,20523714
4194304,14877811
8388608,16614833
16777216,13423601
256,71715426
512,81927426
1024,62536375
2048,61431260
4096,53195319
8192,21686681
16384,18920744
32768,13346498
65536,23740267
131072,16559490
262144,21263502
524288,15558423
1048576,18305650
2097152,15673961
4194304,26154805
8388608,18333469
16777216,16792608
256,75083552
512,76711214
1024,69603362
2048,61078932
4096,65312415
8192,21904703
16384,21880848
32768,22511695
65536,17857355
131072,20644595
262144,21477186
524288,19713281
1048576,18790505
2097152,23549308
4194304,19364712
8388608,14790704
16777216,20115972
256,70637502
512,72876159
1024,64809518
2048,55111032
4096,58618487
8192,22915926
16384,17067867
32768,21186654
65536,11400466
131072,20419571
262144,18971014
524288,16308356
1048576,18667612
2097152,13346036
4194304,18702802
8388608,19221012
16777216,23227864
256,62610409
512,77974246
1024,63696372
2048,63451671
4096,43669495
8192,48201611
16384,18287857
32768,20159172
65536,19806201
131072,14911247
262144,17648377
524288,17418849
1048576,20733246
2097152,30735278
4194304,21381054
8388608,18785117
16777216,17666217
256,65217615
