256,4327568
512,4687468
1024,4501277
2048,4047242
4096,4108865
8192,4499680
16384,4350445
32768,4293679
65536,4404382
131072,4072112
262144,4564292
524288,4368703
1048576,4204878
2097152,4404490
4194304,4341328
8388608,4321680
16777216,4122944
256,4624370
512,4295784
1024,4030980
2048,4179913
4096,4508906
8192,4295840
16384,4337754
32768,4261245
65536,4351587
131072,4295802
262144,4403944
524288,4596138
1048576,4307185
2097152,4256750
4194304,4102993
8388608,4173417
16777216,4097888
256,4487517
512,4485792
1024,4386635
2048,4494567
4096,4026361
8192,4152352
16384,4162980
32768,4298652
65536,4502408
131072,4617818
262144,4498592
524288,3948055
1048576,3982827
2097152,4328279
4194304,4457100
8388608,3889299
16777216,4025676
256,4438965
512,4375531
1024,4142829
2048,3921313
4096,3950108
8192,3981118
16384,4090115
32768,4021106
65536,4056149
131072,3998715
262144,4179582
524288,4214998
1048576,4337250
2097152,4180682
4194304,4204333
8388608,4166257
16777216,4114750
256,4754975
512,4903635
1024,4544722
2048,4113084
4096,4224991
8192,3980633
16384,4260416
32768,4097618
65536,4259943
131072,4212065
262144,4078448
524288,4271061
1048576,4348239
2097152,3812377
4194304,4130642
8388608,4090508
16777216,4333978
256,4313028
512,3957108
1024,4025327
2048,3961481
4096,3992830
8192,3907409
16384,3996699
32768,4096969
65536,4071738
131072,4052103
262144,4005797
524288,3840792
1048576,4395788
2097152,4388995
4194304,3941660
8388608,4292268
16777216,4190482
256,4790254
512,4875535
1024,4263641
2048,3955595
4096,4122161
8192,3914174
16384,3892682
32768,4361040
65536,4178346
131072,4228412
262144,4368437
524288,4397003
1048576,3985083
2097152,4067732
4194304,3725733
8388608,4349028
16777216,3987574
256,4027930
512,3763488
1024,3806453
2048,3757101
4096,3807183
8192,3895278
16384,4303003
32768,4439023
65536,4175052
131072,4535857
262144,4272040
524288,4199099
1048576,4157359
2097152,4239558
4194304,4441519
8388608,4315075
16777216,4298971
256,4793485
512,4704672
1024,4382340
2048,4645597
4096,4001643
8192,3795693
16384,4412653
32768,4414288
65536,4051678
131072,3850381
262144,3843045
524288,4478384
1048576,4513836
2097152,4710947
4194304,4457135
8388608,4028638
16777216,4003778
256,4529675
512,3774903
1024,4131421
2048,3773248
4096,3976311
8192,3806205
16384,4044568
32768,4284255
65536,4222862
131072,3814800
262144,3804590
524288,4046521
1048576,3967676
2097152,4427829
4194304,4205327
8388608,3918390
16777216,3909101
256,4184113
512,4322613
1024,4441608
2048,4214083
4096,3909936
8192,4258751
16384,4210514
32768,4394022
65536,4311888
131072,4403894
262144,4440749
524288,4343375
1048576,4412276
2097152,4364256
4194304,4498181
8388608,4546225
16777216,4210672
256,4866392
512,4897872
1024,4069719
2048,3992757
4096,3870704
8192,4085548
16384,3947989
32768,4112554
65536,4039467
131072,4251004
262144,4212154
524288,3801147
1048576,3846142
2097152,4134539
4194304,4186850
8388608,4459042
16777216,4293366
256,4249116
512,4633613
1024,4375631
2048,4323790
4096,4494795
8192,4136250
16384,4254520
32768,4414040
65536,4137827
131072,3966709
262144,3810196
524288,3963045
1048576,4301460
2097152,4172933
4194304,4355837
8388608,4117966
16777216,3984298
256,4051869
512,4643892
1024,3754555
2048,3900520
4096,4424393
8192,4311068
16384,4325891
32768,4003054
65536,4131889
131072,4345367
262144,4336219
524288,4004274
1048576,3844736
2097152,3949061
4194304,4117644
8388608,4212771
16777216,3870059
256,4583869
512,4413752
1024,4084740
2048,4192052
4096,4326241
8192,4474097
16384,4224974
32768,4225355
65536,4107485
131072,4346387
262144,3963629
524288,3780378
1048576,3799749
2097152,3984001
4194304,4135441
8388608,4548431
16777216,4398595
256,4874360
512,4190218
1024,4842422
2048,4088710
4096,4597996
8192,4260432
16384,4351393
32768,4154972
65536,4252402
131072,4116873
262144,4097164
524288,3802862
1048576,3796633
2097152,4021109
4194304,4369748
8388608,4251369
16777216,3817117
