256,3419117
512,1288691
1024,709778
2048,451341
4096,304434
8192,265966
16384,237081
32768,237827
65536,241142
131072,215962
262144,201797
524288,207795
1048576,205027
2097152,212727
4194304,236601
8388608,224623
16777216,231493
256,3152286
512,1378929
1024,755248
2048,458768
4096,318771
8192,279007
16384,261133
32768,236529
65536,238007
131072,204536
262144,203763
524288,198097
1048576,222393
2097152,218922
4194304,221867
8388608,221364
16777216,235677
256,2330413
512,1288212
1024,771586
2048,493981
4096,331941
8192,274386
16384,260245
32768,244521
65536,259102
131072,217600
262144,213931
524288,209725
1048576,225077
2097152,234906
4194304,228327
8388608,235454
16777216,233554
256,2587231
512,1467461
1024,697664
2048,452598
4096,314973
8192,532515
16384,264551
32768,234759
65536,252607
131072,226141
262144,231935
524288,222824
1048576,238614
2097152,236447
4194304,270545
8388608,240679
16777216,236816
256,2258465
512,1547483
1024,810170
2048,555562
4096,326971
8192,277202
16384,248858
32768,293918
65536,287869
131072,221408
262144,213218
524288,226082
1048576,229243
2097152,307607
4194304,312680
8388608,250678
16777216,221678
256,2411220
512,1330552
1024,766026
2048,473501
4096,341660
8192,290524
16384,247828
32768,247076
65536,242487
131072,423375
262144,205188
524288,200712
1048576,212846
2097152,232546
4194304,230424
8388608,226641
16777216,224244
256,2274878
512,1250993
1024,693789
2048,500027
4096,303844
8192,264326
16384,290098
32768,212028
65536,378310
131072,218114
262144,195744
524288,199510
1048576,211735
2097152,233989
4194304,307893
8388608,232689
16777216,226132
256,2626940
512,1324205
1024,984711
2048,459861
4096,311503
8192,264880
16384,257250
32768,228647
65536,288757
131072,230172
262144,241716
524288,207655
1048576,424799
2097152,225963
4194304,262952
8388608,238201
16777216,239473
256,2332540
512,1308851
1024,743698
2048,482865
4096,339762
8192,297571
16384,264783
32768,240353
65536,285433
131072,212158
262144,209530
524288,203663
1048576,209129
2097152,230644
4194304,226419
8388608,240550
16777216,245142
256,2453663
512,1991273
1024,765455
2048,496077
4096,350237
8192,298791
16384,263524
32768,256644
65536,273431
131072,225764
262144,226891
524288,222055
1048576,225097
2097152,241377
4194304,232355
8388608,227995
16777216,224682
256,2295090
512,1230075
1024,962363
2048,458445
4096,529965
8192,281561
16384,257140
32768,251287
65536,230070
131072,222442
262144,215229
524288,206939
1048576,220781
2097152,230256
4194304,233984
8388608,239382
16777216,234335
256,2402465
512,1315195
1024,754143
2048,462707
4096,313765
8192,269254
16384,242186
32768,250809
65536,459535
131072,213073
262144,212905
524288,202505
1048576,208043
2097152,217071
4194304,237769
8388608,233948
16777216,226781
256,2526989
512,1276187
1024,713873
2048,480924
4096,329786
8192,289399
16384,250977
32768,230239
65536,526840
131072,215034
262144,213348
524288,246265
1048576,236918
2097152,239782
4194304,245831
8388608,244629
16777216,245835
256,2343602
512,1261389
1024,735430
2048,452070
4096,344849
8192,275272
16384,255945
32768,247260
65536,232893
131072,213902
262144,213868
524288,214623
1048576,220011
2097152,229125
4194304,233808
8388608,232471
16777216,229408
256,2844345
512,1307001
1024,710440
2048,466205
4096,325204
8192,281242
16384,266457
32768,243796
65536,343006
131072,223702
262144,214802
524288,211415
1048576,211855
2097152,223566
4194304,444706
8388608,232099
16777216,232921
256,2643709
512,1323482
1024,746946
2048,466909
4096,326391
8192,264057
16384,243014
32768,248545
65536,241440
131072,212897
262144,211921
524288,221244
1048576,228375
2097152,237716
4194304,236646
8388608,241546
16777216,242863
