256,2191212
512,1221703
1024,720380
2048,459173
4096,316879
8192,270599
16384,244470
32768,273879
65536,255343
131072,231688
262144,225408
524288,206676
1048576,215177
2097152,232416
4194304,235216
8388608,245597
16777216,255483
256,2177814
512,1230699
1024,714434
2048,463579
4096,309326
8192,264464
16384,257877
32768,251601
65536,255579
131072,245043
262144,230304
524288,244366
1048576,257989
2097152,234992
4194304,248620
8388608,240426
16777216,254008
256,2347725
512,1355819
1024,839664
2048,550748
4096,394959
8192,325377
16384,299086
32768,286274
65536,272443
131072,194519
262144,203686
524288,265019
1048576,192010
2097152,205985
4194304,209997
8388608,211056
16777216,206844
256,2196531
512,1196281
1024,742681
2048,467359
4096,332833
8192,318525
16384,261499
32768,236922
65536,225160
131072,211924
262144,208123
524288,204266
1048576,209177
2097152,221010
4194304,241346
8388608,240196
16777216,230868
256,2168975
512,1201029
1024,717266
2048,487591
4096,324274
8192,285512
16384,240679
32768,233796
65536,316692
131072,206977
262144,207396
524288,226825
1048576,218378
2097152,224249
4194304,229401
8388608,241397
16777216,223846
256,2094321
512,1178204
1024,686915
2048,433397
4096,313703
8192,257401
16384,235623
32768,219320
65536,224168
131072,224176
262144,213261
524288,198815
1048576,203288
2097152,230172
4194304,230258
8388608,233928
16777216,265295
256,2129404
512,1225124
1024,736787
2048,451546
4096,428981
8192,317666
16384,265928
32768,228540
65536,220721
131072,223122
262144,227305
524288,225840
1048576,218028
2097152,240805
4194304,236873
8388608,229278
16777216,244883
256,2371538
512,1186614
1024,686333
2048,442605
4096,303497
8192,267459
16384,233851
32768,216921
65536,244347
131072,228133
262144,199247
524288,205980
1048576,201970
2097152,218981
4194304,215873
8388608,226135
16777216,218251
256,2244816
512,1232565
1024,780179
2048,682268
4096,340927
8192,327334
16384,260253
32768,243964
65536,236681
131072,219806
262144,233795
524288,215824
1048576,211374
2097152,220743
4194304,258238
8388608,235858
16777216,216089
256,2237722
512,1257341
1024,796457
2048,493096
4096,316609
8192,270331
16384,257841
32768,239302
65536,224886
131072,218925
262144,232759
524288,202801
1048576,207604
2097152,223759
4194304,233289
8388608,246533
16777216,268687
256,2290984
512,1259768
1024,842764
2048,448528
4096,336893
8192,272004
16384,254955
32768,232288
65536,216239
131072,208847
262144,208113
524288,198254
1048576,207706
2097152,225918
4194304,234857
8388608,235790
16777216,222683
256,2155862
512,1208703
1024,850610
2048,525915
4096,347295
8192,294677
16384,258194
32768,252316
65536,241064
131072,231220
262144,243884
524288,221962
1048576,232842
2097152,245372
4194304,245772
8388608,249741
16777216,234912
256,2237929
512,1336042
1024,720887
2048,502846
4096,331744
8192,288468
16384,273322
32768,257887
65536,231188
131072,232686
262144,217089
524288,210311
1048576,225246
2097152,238156
4194304,225900
8388608,224282
16777216,228584
256,2117727
512,1310829
1024,729417
2048,464637
4096,331668
8192,276124
16384,269753
32768,230718
65536,235735
131072,212339
262144,217165
524288,215685
1048576,212880
2097152,226674
4194304,233295
8388608,244080
16777216,234714
256,2149405
512,1222559
1024,717550
2048,441193
4096,324016
8192,276769
16384,253390
32768,230338
65536,230476
131072,212083
262144,216807
524288,206408
1048576,222021
2097152,222205
4194304,230397
8388608,228777
16777216,230593
256,2243944
512,1292920
1024,746469
2048,459728
4096,348278
8192,277963
16384,245416
32768,236284
65536,230031
131072,216450
262144,212028
524288,208535
1048576,220716
2097152,243687
4194304,240749
8388608,239700
16777216,258386
